,Open,High,Low,Close,Volume
2018-12-22 12:29:57.610599,105.46489930952177,106.57637373733579,102.60103064822107,104.58923003106132,7386343
2018-12-23 12:29:57.610599,103.21768249788661,105.57950140953069,101.43651978370585,103.88419787377026,9935009
2018-12-24 12:29:57.610599,104.6609872360804,107.08012514346315,104.19503587773613,105.50469827591205,9672461
2018-12-25 12:29:57.610599,102.05846469031691,104.42622608562205,100.31335945567051,102.69950664644493,8262448
2018-12-26 12:29:57.610599,102.89148793498593,105.24767814738225,98.30957027328338,102.93873256278148,6587886
2018-12-27 12:29:57.610599,103.3345473048363,104.8117843982789,103.14146792986831,103.84413179711456,1303539
2018-12-28 12:29:57.610599,105.50148902882908,109.48107307963484,104.95841698878358,107.35382226167653,5275104
2018-12-29 12:29:57.610599,108.83444019674751,113.2161495971785,109.00074483323917,109.89136899251517,8094808
2018-12-30 12:29:57.610599,105.65667655023718,108.98136771972987,107.4991084651682,107.62739506769188,5498356
2018-12-31 12:29:57.610599,106.32213275454137,108.35196556330857,105.51892380361964,106.95074586431187,3607903
2019-01-01 12:29:57.610599,110.92402062346264,112.97275361274637,107.60739037723643,111.48753414816825,2513286
2019-01-02 12:29:57.610599,112.22513995570151,114.01403989046976,111.42139936508953,113.36842547040834,6767596
2019-01-03 12:29:57.610599,110.85241623228166,111.62405934124916,111.22390208129517,111.54602578243424,1263148
2019-01-04 12:29:57.610599,113.91000797767748,114.53522875841286,111.03456250481864,114.17079082466557,2532903
2019-01-05 12:29:57.610599,117.30575103451861,118.22525257998981,114.55235240409529,116.44503826596426,6072354
2019-01-06 12:29:57.610599,116.64691078694308,117.43685283656441,114.61966555938965,115.70156780753791,8539551
2019-01-07 12:29:57.610599,117.58040639885539,118.13768359992574,114.83998371949242,117.30962648679127,6826549
2019-01-08 12:29:57.610599,113.0795075840628,115.12423229940816,113.13249684495639,113.30268270823528,1971141
2019-01-09 12:29:57.610599,111.7850689091227,113.32281293559934,110.05403398526542,113.0576288411468,3368791
2019-01-10 12:29:57.610599,117.17110775346399,119.50236261617911,116.18112703472848,117.29718531061097,4414043
2019-01-11 12:29:57.610599,118.72120397751094,121.38490418300682,117.22613950949554,118.666400423872,1148095
2019-01-12 12:29:57.610599,118.3808426073922,120.95741421497405,116.93165396060274,118.96006989940463,4113904
2019-01-13 12:29:57.610599,119.16212242213132,118.45639119476036,117.3802072964628,118.11705574716281,4161472
2019-01-14 12:29:57.610599,118.39188695301232,119.29630645964794,116.9597040123673,117.27924404972053,3840409
2019-01-15 12:29:57.610599,121.5245942992188,119.41278340931441,116.87597023132689,119.13706617809424,5622435
2019-01-16 12:29:57.610599,120.72940867575488,123.29661145579675,120.43579948795332,121.13471618020064,7699231
